DateTime,Consumption,Production,Nuclear,Wind,Hydroelectric,Oil and Gas,Coal,Solar,Biomass
29/01/2019,193139,185854,33164,23375,37546,43764,45332,1381,1273
30/01/2019,190694,187327,33330,27497,36149,44359,43626,1021,1317
31/01/2019,193091,175920,33045,11716,40074,44194,44656,851,1359
01/02/2019,189721,173835,33111,12014,40785,43312,40370,2822,1388
02/02/2019,170323,169258,33443,19635,36101,41427,35291,2019,1326
03/02/2019,159004,161640,33472,10228,44073,32884,38236,1537,1183
04/02/2019,179871,166568,33042,8085,44172,40401,36767,2775,1305
05/02/2019,186275,181760,32930,27251,43249,39957,36214,881,1253
06/02/2019,190122,198286,33151,39448,48363,41174,33963,1042,1124
07/02/2019,190741,196981,32788,28104,57637,39839,36094,1334,1163
08/02/2019,191998,187078,33059,4595,61198,43112,42288,1476,1338
09/02/2019,178099,176086,33280,2632,52638,42348,41177,2624,1353
10/02/2019,163172,159251,33395,6420,43061,33365,37756,3877,1345
11/02/2019,185192,186461,32909,26062,43350,40179,40057,2393,1483
12/02/2019,192592,193319,33102,29037,45214,42644,41182,597,1514
13/02/2019,190388,189705,33420,30248,41600,39240,40582,3051,1540
14/02/2019,192558,189382,33122,21123,41639,44443,45435,2069,1525
15/02/2019,191463,197937,32980,29453,40595,44266,46971,2043,1603
16/02/2019,175944,174566,33228,10857,39862,40038,44627,4376,1555
17/02/2019,160258,163066,33241,18651,34417,30294,39963,4983,1488
18/02/2019,180755,172216,32797,9839,40334,38193,44440,5046,1532
19/02/2019,183007,187022,33268,23826,39102,40662,43756,4829,1547
20/02/2019,183528,179825,33030,18704,37310,39702,45085,4426,1543
21/02/2019,183427,180261,32950,14752,38962,42753,45733,3610,1470
22/02/2019,189839,183809,33077,26324,33487,41764,46739,1041,1354
23/02/2019,180791,200660,33305,52734,31513,38874,39076,3863,1279
24/02/2019,167214,169127,33387,10544,35300,43652,41682,3240,1300
25/02/2019,188935,185011,32981,31307,31678,41809,40516,5296,1405
26/02/2019,191865,198973,33239,42977,31959,39462,47011,2932,1373
27/02/2019,188727,203222,33267,46634,33655,34966,50142,3015,1514
28/02/2019,184799,198776,33091,41941,31415,35484,49822,5497,1503
01/03/2019,180902,185228,33242,16795,36584,38781,54175,4142,1485
02/03/2019,169769,175764,33424,17196,33982,37326,48921,3483,1422
03/03/2019,159077,160718,33374,8570,33208,34673,45528,4032,1319
04/03/2019,176855,184521,32773,29942,32889,35955,46329,5316,1306
05/03/2019,180172,196010,33419,37960,39354,35989,43710,4168,1403
06/03/2019,179324,183950,33339,21656,37481,39201,46534,4361,1361
